px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
-0.913554	11.4654	5.06289	-1.93633	0.264279	-1.17212	11.3988	-1.00163	11.4409	-2.15594	-4.69628	4.52186	L
-1.00875	11.242	4.9786	-1.93395	0.243848	-0.891441	10.959	-1.1085	11.2057	-2.12017	-4.71549	2.87472	R
-1.18576	11.0129	5.03996	-1.959	0.202384	-1.39289	11.0424	-1.21362	10.9695	-2.08575	-4.73364	2.77882	L
-1.26868	10.7674	5.09697	-1.93752	0.221426	-1.29894	10.9012	-1.31706	10.7324	-2.05273	-4.75075	1.15734	R
-1.40094	10.5116	5.15302	-1.94141	0.204508	-1.49687	10.4198	-1.41889	10.4945	-2.02111	-4.76686	1.03505	L
-1.49243	10.2486	5.21879	-1.92436	0.216496	-1.59293	10.0212	-1.51917	10.2559	-1.99093	-4.78198	1.24644	R
-1.58975	10.0389	5.17779	-1.92099	0.209007	-1.61875	10.2374	-1.61797	10.0165	-1.96221	-4.79615	2.10962	L
-1.67594	9.81084	5.13226	-1.91428	0.201947	-1.59702	9.96554	-1.71539	9.77637	-1.93498	-4.80939	0.585716	R
-1.75093	9.59171	5.09354	-1.9026	0.204161	-1.73381	9.71347	-1.81147	9.53564	-1.90924	-4.82172	0.802164	L
-1.86375	9.33848	5.16735	-1.90016	0.19976	-2.27191	9.37316	-1.90631	9.29431	-1.88502	-4.83316	2.5902	R
-1.95	9.04397	5.2386	-1.88637	0.202931	-1.93833	8.77028	-1.99998	9.05243	-1.86233	-4.84374	3.94043	L
-2.03252	8.8234	5.1596	-1.88488	0.187873	-1.96565	9.13274	-2.09256	8.81003	-1.8412	-4.85347	1.95609	R
-2.13045	8.57076	5.18452	-1.88251	0.179958	-2.1768	8.5411	-2.18412	8.56717	-1.82164	-4.86238	0.183905	L
-2.25955	8.31553	5.22835	-1.89397	0.155993	-2.65862	8.19477	-2.27474	8.32388	-1.80365	-4.87047	2.94511	R
-2.30571	8.08418	5.17723	-1.87338	0.170448	-2.21875	8.15339	-2.3645	8.0802	-1.78726	-4.87778	0.738853	L
-2.36513	7.87436	5.09608	-1.86364	0.170032	-2.273	8.52315	-2.45348	7.83617	-1.77248	-4.8843	5.48289	R
-2.48086	7.62156	5.14224	-1.87159	0.151721	-2.59674	7.60288	-2.54177	7.59184	-1.75931	-4.89006	0.841879	L
-2.6391	7.3874	5.12509	-1.90732	0.0923424	-3.08256	7.38874	-2.62944	7.34723	-1.74777	-4.89507	6.03526	R
-2.74507	7.1302	5.16453	-1.91002	0.0839982	-2.79865	7.064	-2.71658	7.10238	-1.73786	-4.89933	0.419642	L
-2.80736	6.89726	5.15149	-1.89394	0.101921	-2.79412	7.20818	-2.80326	6.85734	-1.72958	-4.90286	1.53357	R
-2.84692	6.69296	5.05861	-1.87609	0.116412	-2.74651	6.86867	-2.88957	6.61214	-1.72295	-4.90566	2.31789	L
-2.90547	6.47542	4.95591	-1.87455	0.100648	-2.57673	6.36755	-2.97559	6.36681	-1.71797	-4.90774	3.84426	R
-2.9613	6.24004	4.93924	-1.86266	0.108081	-2.90217	6.22989	-3.0614	6.12139	-1.71464	-4.90911	0.20623	L
-3.08131	5.99103	5.00665	-1.87458	0.0904953	-3.50172	6.10796	-3.14709	5.87592	-1.71297	-4.90976	3.75271	R
-3.16812	5.71396	5.0745	-1.87174	0.0879664	-3.1778	5.53101	-3.23274	5.63043	-1.71295	-4.9097	1.80819	L
-3.27699	5.46719	5.06634	-1.88978	0.051287	-3.19736	5.19093	-3.31843	5.38496	-1.71458	-4.90893	2.50081	R
-3.37604	5.20335	5.11975	-1.89297	0.0447588	-3.43031	5.10507	-3.40424	5.13955	-1.71787	-4.90745	0.710326	L
-3.44554	4.95791	5.1256	-1.88306	0.0569613	-3.4281	4.94644	-3.49026	4.89422	-1.72281	-4.90525	0.142291	R
-3.56414	4.67509	5.22387	-1.89203	0.0441329	-3.69435	4.52196	-3.57657	4.64902	-1.72939	-4.90233	2.29362	L
-3.67496	4.42124	5.22638	-1.91061	0.00797972	-3.50501	4.17643	-3.66325	4.40398	-1.73763	-4.89868	2.41377	R
-3.81087	4.14556	5.3208	-1.92529	-0.00757058	-4.00238	4.04684	-3.75039	4.15913	-1.74749	-4.8943	2.60817	L
-3.89181	3.90582	5.30615	-1.91701	0.00884528	-4.06447	4.10977	-3.83806	3.91452	-1.75899	-4.88918	1.13878	R
-3.96194	3.67597	5.25382	-1.91166	0.0134962	-3.88053	3.75177	-3.92635	3.67019	-1.77212	-4.8833	0.687734	L
-4.06151	3.47312	5.17391	-1.92779	-0.0155461	-4.23729	3.88878	-4.01533	3.42616	-1.78686	-4.87666	4.3205	R
-4.15206	3.22885	5.17751	-1.92837	-0.0153181	-4.15119	3.21968	-4.10509	3.18248	-1.8032	-4.86925	0.00460999	L
-4.27012	2.97145	5.22232	-1.94357	-0.0395173	-4.27467	2.88187	-4.19571	2.93919	-1.82113	-4.86104	0.918755	R
-4.3609	2.6957	5.27567	-1.94025	-0.0335764	-4.32451	2.55034	-4.28727	2.69633	-1.84065	-4.85202	1.21723	L
-4.44815	2.44655	5.27471	-1.93659	-0.0248586	-4.38481	2.39989	-4.37985	2.45393	-1.86173	-4.84218	0.136917	R
-4.55381	2.17976	5.32338	-1.9385	-0.0245072	-4.61223	2.09192	-4.47352	2.21205	-1.88436	-4.83149	0.60448	L
-4.66357	1.94702	5.31042	-1.96058	-0.0671008	-4.29257	1.92854	-4.56836	1.97072	-1.90853	-4.81994	4.26597	R
-4.78018	1.6704	5.38321	-1.96376	-0.0649118	-4.86829	1.53442	-4.66444	1.72998	-1.93422	-4.80751	1.41618	L
-4.90475	1.41831	5.41674	-1.97963	-0.0872974	-4.98165	1.43611	-4.76186	1.48989	-1.9614	-4.79417	0.619946	R
-4.96177	1.18944	5.33285	-1.9729	-0.0791593	-4.66779	1.28643	-4.86066	1.25049	-1.99007	-4.7799	5.01022	L
-5.05633	0.976254	5.26045	-1.97733	-0.0787361	-4.98594	1.10894	-4.96095	1.01182	-2.02019	-4.76468	1.16549	R
-5.11558	0.748394	5.19514	-1.97137	-0.0713155	-4.85498	0.825661	-5.06277	0.77393	-2.05174	-4.74848	3.85253	L
-5.21182	0.448573	5.31429	-1.96628	-0.0648774	-4.84736	0.18101	-5.16621	0.536876	-2.08471	-4.73127	5.17618	R
-5.286	0.210778	5.27704	-1.96312	-0.0597866	-5.1231	0.257311	-5.27133	0.300706	-2.11906	-4.71303	1.49655	L
-5.39567	-0.0209375	5.24063	-1.96326	-0.0462568	-5.99809	-0.290765	-5.3782	0.0654719	-2.15477	-4.69374	5.82216	R
-5.46651	-0.256301	5.20566	-1.95876	-0.0405432	-5.29972	-0.212982	-5.4869	-0.168772	-2.1918	-4.67335	1.55109	L
-5.58545	-0.435761	5.12061	-1.9826	-0.0718573	-5.64447	-0.144522	-5.59748	-0.401971	-2.23014	-4.65185	3.83109	R
-5.72015	-0.617961	5.05166	-2.00672	-0.09675	-5.85359	-0.445801	-5.71001	-0.634069	-2.26974	-4.62919	2.69702	L
-5.83475	-0.851266	5.11708	-2.02454	-0.12683	-5.30947	-0.724468	-5.82456	-0.865006	-2.31058	-4.60536	5.6841	R
-5.93117	-1.12214	5.17679	-2.01653	-0.108646	-5.87835	-1.26863	-5.94118	-1.09472	-2.35262	-4.58032	1.38537	L
-6.02097	-1.39248	5.22903	-2.00742	-0.0917528	-5.68069	-1.52871	-6.05993	-1.32316	-2.39581	-4.55404	2.71312	R
-6.15883	-1.59954	5.19752	-2.02707	-0.109767	-6.27263	-1.50938	-6.18087	-1.55025	-2.44014	-4.52648	1.19129	L
-6.30099	-1.84468	5.31362	-2.05101	-0.146905	-6.11355	-1.75966	-6.30406	-1.77593	-2.48555	-4.49762	4.16771	R
-6.40815	-2.09485	5.32774	-2.04972	-0.136622	-6.34007	-2.13685	-6.42954	-2.00014	-2.532	-4.46742	0.361796	L
-6.55818	-2.29828	5.28264	-2.0714	-0.152899	-6.99344	-2.17445	-6.55738	-2.22281	-2.57946	-4.43585	3.29928	R
-6.70752	-2.50698	5.26106	-2.09142	-0.16777	-6.79288	-2.4458	-6.68761	-2.44386	-2.62788	-4.40288	0.634114	L
-6.86224	-2.7223	5.26932	-2.11155	-0.183386	-7.14408	-2.67584	-6.82029	-2.66323	-2.6772	-4.36847	1.25934	R
-6.95682	-2.99024	5.30766	-2.09665	-0.15446	-6.8003	-3.10086	-6.95546	-2.88084	-2.7274	-4.3326	2.13453	L
-7.08551	-3.21321	5.27136	-2.10167	-0.148184	-7.13937	-3.22028	-7.09316	-3.09663	-2.7784	-4.29523	0.280561	R
-7.2103	-3.40492	5.21275	-2.11567	-0.157723	-7.12118	-3.26434	-7.23344	-3.3105	-2.83017	-4.25632	1.48648	L
-7.35667	-3.65489	5.25844	-2.11904	-0.150642	-7.77186	-4.08999	-7.37632	-3.5224	-2.88265	-4.21586	4.38192	R
-7.51403	-3.78964	5.14207	-2.15689	-0.189112	-7.49009	-3.49081	-7.52184	-3.73223	-2.93579	-4.1738	5.15494	L
-7.65823	-4.00009	5.15758	-2.16911	-0.194538	-7.52393	-3.88213	-7.67004	-3.93992	-2.98953	-4.13012	0.502125	R
-7.81381	-4.228	5.18632	-2.17744	-0.192114	-7.88049	-4.29783	-7.82094	-4.14538	-3.04381	-4.08479	0.491166	L
-7.96482	-4.44698	5.19317	-2.18555	-0.18964	-8.08524	-4.57834	-7.97457	-4.34854	-3.09857	-4.03778	0.377367	R
-8.12795	-4.68481	5.23855	-2.19145	-0.184343	-8.22492	-4.79812	-8.13095	-4.5493	-3.15376	-3.98906	1.17678	L
-8.26824	-4.8836	5.13489	-2.19511	-0.171425	-8.453	-4.95621	-8.2901	-4.74759	-3.2093	-3.93862	2.43104	R
-8.40177	-5.09995	5.13375	-2.1958	-0.162329	-8.33552	-5.1059	-8.45204	-4.94331	-3.26514	-3.88641	0.249577	L
-8.54861	-5.26253	5.0176	-2.21199	-0.168365	-8.55062	-4.79248	-8.61678	-5.13637	-3.32121	-3.83242	3.72527	R
-8.73818	-5.46184	5.0462	-2.23287	-0.182161	-8.91477	-5.51752	-8.78433	-5.32669	-3.37745	-3.77663	1.82684	L
-8.89812	-5.65742	5.0345	-2.24339	-0.182942	-9.04115	-5.69364	-8.95469	-5.51417	-3.43377	-3.71901	0.288427	R
-9.05473	-5.84255	5.02005	-2.25546	-0.186576	-9.03391	-5.80267	-9.12788	-5.69872	-3.49012	-3.65955	0.110095	L
-9.19416	-5.9945	4.90319	-2.26843	-0.188836	-8.86897	-5.41973	-9.30388	-5.88026	-3.54643	-3.59823	5.8005	R
-9.36838	-6.09688	4.81251	-2.30819	-0.225235	-9.30811	-5.82368	-9.4827	-6.05868	-3.60261	-3.53503	4.46282	L
-9.54469	-6.2798	4.8391	-2.32229	-0.228568	-9.80646	-6.41174	-9.66432	-6.23389	-3.6586	-3.46994	1.01567	R
-9.68613	-6.48709	4.85519	-2.31631	-0.208394	-9.62547	-6.55958	-9.84874	-6.4058	-3.71431	-3.40295	0.564913	L
-9.9069	-6.65198	4.94572	-2.35001	-0.237287	-10.6688	-6.35543	-10.0359	-6.57431	-3.76969	-3.33404	7.24778	R
-10.11	-6.81815	4.96166	-2.37344	-0.250218	-10.2246	-6.83402	-10.2259	-6.73933	-3.82463	-3.26321	0.734196	L
-10.2947	-6.98133	4.9859	-2.39087	-0.256952	-10.2205	-6.71044	-10.4186	-6.90075	-3.87907	-3.19046	1.00016	R
-10.5253	-7.16441	5.04665	-2.41358	-0.267204	-10.7616	-7.29159	-10.614	-7.05849	-3.93293	-3.11577	3.78094	L
-10.7296	-7.30839	5.05115	-2.43916	-0.281732	-10.8944	-6.83335	-10.8121	-7.21245	-3.98613	-3.03916	1.89655	R
-10.9771	-7.47234	5.10713	-2.46851	-0.2982	-11.2219	-7.56979	-11.0128	-7.36252	-4.03859	-2.96062	3.68178	L
-11.1643	-7.61238	5.04547	-2.48521	-0.300173	-10.986	-7.3707	-11.2161	-7.50862	-4.09021	-2.88015	1.29202	R
-11.3157	-7.76371	4.99296	-2.48635	-0.28525	-11.0934	-7.6776	-11.422	-7.65064	-4.14093	-2.79777	3.01546	L
-11.5096	-7.89129	4.95218	-2.50712	-0.292834	-11.4213	-7.46085	-11.6304	-7.78849	-4.19066	-2.71349	1.78524	R
-11.6893	-7.99472	4.89071	-2.53048	-0.303569	-11.5269	-7.8215	-11.8413	-7.92208	-4.23932	-2.6273	2.97523	L
-11.8798	-8.10841	4.79117	-2.55181	-0.310553	-11.9422	-7.88317	-12.0546	-8.05131	-4.28682	-2.53924	1.61105	R
-12.0939	-8.19913	4.77113	-2.58572	-0.33149	-12.09	-8.08828	-12.2702	-8.17609	-4.33309	-2.44932	0.745286	L
-12.3218	-8.33016	4.89304	-2.60508	-0.333853	-12.4462	-8.02117	-12.4881	-8.29633	-4.37802	-2.35756	2.86754	R
