px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
19.835	14.2347	4.63493	1.78302	0.498923	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521	6.91291e-310	L
19.7674	14.4575	4.63296	1.81256	0.503569	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331	0.162672	R
19.7087	14.6812	4.63296	1.83774	0.503569	19.781	14.773	19.934	14.6897	-1.30687	4.62805	6.91291e-310	L
19.7306	14.7839	4.52869	1.84212	0.489963	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944	1.85668	R
19.6668	15.0009	4.52869	1.86662	0.489963	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751	6.91291e-310	L
19.5546	15.2155	4.50966	1.94492	0.579506	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226	10.9859	R
19.4689	15.4237	4.50966	1.9739	0.579506	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372	6.91291e-310	L
19.4605	15.5494	4.43136	1.98691	0.571141	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193	1.02722	R
19.3678	15.7503	4.43136	2.01546	0.571141	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469	6.91291e-310	L
19.2805	15.9555	4.43227	2.02963	0.547415	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868	0.63527	R
19.1794	16.1525	4.43227	2.057	0.547415	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731	6.91291e-310	L
19.1006	16.331	4.41513	2.08605	0.557161	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284	0.750493	R
18.9889	16.5212	4.41513	2.11391	0.557161	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953	6.91291e-310	L
18.7823	16.8175	4.53435	2.18587	0.621511	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476	10.1707	R
18.6485	17.0002	4.53435	2.21695	0.621511	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127	6.91291e-310	L
18.6291	17.1465	4.44229	2.19407	0.548948	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489	4.58471	R
18.4969	17.3247	4.44229	2.22152	0.548948	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568	6.91291e-310	L
18.3754	17.5055	4.4354	2.23214	0.521458	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372	0.868225	R
18.2369	17.6784	4.4354	2.25821	0.521458	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906	6.91291e-310	L
18.097	17.7936	4.40274	2.30497	0.556844	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418	1.47616	R
17.9472	17.9546	4.40274	2.33281	0.556844	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199	6.91291e-310	L
17.9288	18.0914	4.33296	2.33471	0.538574	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973	6.72903	R
17.7769	18.2456	4.33296	2.36164	0.538574	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509	6.91291e-310	L
17.633	18.3507	4.3041	2.40009	0.558355	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817	0.619677	R
17.4723	18.4936	4.3041	2.42801	0.558355	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904	6.91291e-310	L
17.2538	18.7619	4.40942	2.4452	0.542399	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678	4.81279	R
17.0828	18.9008	4.40942	2.47232	0.542399	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455	6.91291e-310	L
16.7877	19.1775	4.56438	2.50726	0.551057	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938	4.72426	R
16.6021	19.31	4.56438	2.53481	0.551057	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237	6.91291e-310	L
16.4259	19.2923	4.48303	2.59244	0.588987	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364	8.83155	R
16.2331	19.4063	4.48303	2.62189	0.588987	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329	6.91291e-310	L
16.1041	19.4897	4.39953	2.62688	0.550619	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141	2.04863	R
15.9113	19.5953	4.39953	2.65441	0.550619	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081	6.91291e-310	L
15.5353	19.9173	4.61089	2.66522	0.522564	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347	9.23651	R
15.3292	20.0203	4.61089	2.69135	0.522564	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763	6.91291e-310	L
15.0783	20.1055	4.62995	2.72597	0.528526	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068	1.31609	R
14.8654	20.1961	4.62995	2.7524	0.528526	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272	6.91291e-310	L
14.5293	20.3761	4.75689	2.78147	0.531756	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386	2.02814	R
14.3058	20.457	4.75689	2.80805	0.531756	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421	6.91291e-310	L
14.0341	20.5668	4.81095	2.839	0.540377	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386	0.555378	R
13.8038	20.6355	4.81095	2.86602	0.540377	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294	6.91291e-310	L
13.593	20.6336	4.80033	2.91963	0.58232	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153	1.85327	R
13.3584	20.6831	4.80033	2.94875	0.58232	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975	6.91291e-310	L
13.129	20.7723	4.81321	2.96858	0.575846	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694	1.96215	R
12.8915	20.8105	4.81321	2.99737	0.575846	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469	6.91291e-310	L
12.4842	20.9614	4.97794	3.01865	0.568621	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175	3.35905	R
12.237	20.9886	4.97794	3.04708	0.568621	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912	6.91291e-310	L
12.0337	21.006	4.95231	3.07648	0.574979	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778	1.02195	R
11.7866	21.0188	4.95231	3.10523	0.574979	11.6814	20.8651	11.785	21.117	-4.86022	0.286869	6.91291e-310	L
11.5475	20.9804	4.93902	-3.13903	0.584859	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281	1.04289	R
11.3008	20.9764	4.93902	-3.10979	0.584859	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057	6.91291e-310	L
10.9986	20.9293	4.97508	-3.07023	0.591621	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565	3.65707	R
10.7509	20.9082	4.97508	-3.04065	0.591621	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643	6.91291e-310	L
10.3375	20.9982	5.07603	-3.04518	0.543207	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604	4.73617	R
10.0855	20.9708	5.07603	-3.01802	0.543207	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674	6.91291e-310	L
9.84057	20.9815	5.07027	-3.00342	0.530527	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463	1.50834	R
9.59016	20.9437	5.07027	-2.97689	0.530527	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327	6.91291e-310	L
9.33638	20.9655	5.03168	-2.98334	0.482675	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189	2.66865	R
9.08864	20.9233	5.03168	-2.9592	0.482675	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977	6.91291e-310	L
8.95052	20.8681	4.94465	-2.9335	0.48549	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362	2.5208	R
8.70944	20.8145	4.94465	-2.90923	0.48549	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605	6.91291e-310	L
8.70347	20.6406	4.74933	-2.85915	0.505601	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372	4.66078	R
8.47642	20.572	4.74933	-2.83387	0.505601	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701	6.91291e-310	L
