px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
16.1316	4.14029	5.23456	0.645153	0.32415	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629	6.92448e-310	R
16.3324	4.34932	5.27039	0.681492	0.346126	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723	0.620651	L
16.5353	4.51687	5.27039	0.698798	0.346126	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109	6.92448e-310	R
16.6944	4.68708	5.21028	0.72555	0.356978	16.6039	4.67344	16.613	4.5849	3.74	3.28438	0.537118	L
16.8875	4.86144	5.21028	0.743399	0.356978	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704	6.92448e-310	R
17.0459	5.09983	5.22957	0.79031	0.388951	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897	1.03227	L
17.2278	5.28716	5.22957	0.809758	0.388951	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008	6.92448e-310	R
17.37	5.46758	5.16948	0.835445	0.396283	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028	0.478394	L
17.5413	5.66072	5.16948	0.855259	0.396283	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949	6.92448e-310	R
17.741	5.77797	5.11738	0.840479	0.358452	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762	1.73353	L
17.9097	5.96985	5.11738	0.858401	0.358452	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458	6.92448e-310	R
18.0915	6.16474	5.13803	0.871428	0.352922	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027	0.0806044	L
18.2549	6.36253	5.13803	0.889075	0.352922	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462	6.92448e-310	R
18.3469	6.60135	5.1048	0.939113	0.388854	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753	1.41194	L
18.4954	6.80852	5.1048	0.958555	0.388854	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289	6.92448e-310	R
18.6157	6.93836	4.97111	0.96282	0.372851	18.5422	6.76013	18.572	6.80638	2.7356	4.08867	2.36572	L
18.7556	7.14342	4.97111	0.981463	0.372851	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672	6.92448e-310	R
18.9796	7.29025	4.98466	0.953932	0.321922	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299	2.64155	L
19.122	7.49443	4.98466	0.970028	0.321922	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737	6.92448e-310	R
19.1746	7.76117	4.97654	1.03191	0.372335	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098	2.57046	L
19.3001	7.97562	4.97654	1.05053	0.372335	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017	6.92448e-310	R
19.3272	8.18023	4.86421	1.09951	0.40623	19.132	8.12845	19.3028	8.08329	2.12266	4.40842	2.65881	L
19.4353	8.39775	4.86421	1.11982	0.40623	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445	6.92448e-310	R
19.483	8.52587	4.67666	1.1388	0.405819	19.347	8.30741	19.5042	8.5289	1.90381	4.49819	4.16902	L
19.5786	8.73892	4.67666	1.15909	0.405819	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956	6.92448e-310	R
19.7821	8.92671	4.73306	1.13023	0.351807	20.0039	8.8906	19.6835	8.983	1.67841	4.57848	3.3943	L
19.881	9.14135	4.73306	1.14782	0.351807	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488	6.92448e-310	R
20.0342	9.38491	4.82311	1.14841	0.332834	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869	1.33046	L
